TimeCreated,Id,LevelDisplayName,ProviderName,Message
"2026-06-03 13:58:29","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 13:58:29","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 13:50:21","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 13:50:21","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 13:47:12","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 13:47:12","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 13:00:48","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 13:00:48","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 12:50:21","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 12:50:21","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 12:45:19","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 12:45:19","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 12:38:36","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 12:38:36","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 12:00:07","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 12:00:07","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:53:22","10016","警告","Microsoft-Windows-DistributedCOM","应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 INSPIRON7610\葛容卓 SID (S-1-5-21-1774715358-1257858206-961493439-1001)授予针对 CLSID 为   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  、APPID 为   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
"2026-06-03 11:50:20","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:50:20","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:44:03","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:44:03","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:36:48","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:36:48","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:21:54","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:21:54","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:16:05","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:16:05","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-03 11:11:12","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
