TimeCreated,Id,LevelDisplayName,ProviderName,Message
"2026-06-01 13:55:02","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:55:02","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:51:09","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:51:09","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:40:19","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:40:19","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:37:17","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:37:17","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:30:17","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:30:17","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:24:45","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:24:45","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:10:51","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 13:10:51","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 12:56:21","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 12:56:21","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 12:55:50","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 12:55:50","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 12:51:09","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 12:51:09","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 12:48:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-06-01 12:48:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
