TimeCreated,Id,LevelDisplayName,ProviderName,Message
"2026-02-28 14:42:53","158","信息","Microsoft-Windows-Time-Service","The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well."
"2026-02-28 14:38:52","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:38:52","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:20:48","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:20:48","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:20:47","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:20:47","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:20:47","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:20:47","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:20:41","1","警告","VMnetDHCP","dispatch: Timeout waiting for input data"
"2026-02-28 14:20:32","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:20:32","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:07:04","7021","信息","Netwtw10","7021 - Connection telemetry fields and analysis usage"
"2026-02-28 14:05:16","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 14:05:16","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:57:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:57:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:53:20","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:53:20","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:40:16","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:40:16","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:37:20","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:37:20","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:27:34","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\ProgramData\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\S-1-5-21-1774715358-1257858206-961493439-1001\SystemAppData\Helium\Cache\3a3ad21182641916_COM15.dat 中的访问历史记录，更新 1 个项并创建 1 个已修改的页面。"
"2026-02-28 13:27:34","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat 中的访问历史记录，更新 2 个项并创建 1 个已修改的页面。"
"2026-02-28 13:27:34","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\SystemAppData\Helium\User.dat 中的访问历史记录，更新 1 个项并创建 1 个已修改的页面。"
"2026-02-28 13:26:41","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\ProgramData\Packages\Microsoft.PowerToys.ImageResizerContextMenu_8wekyb3d8bbwe\S-1-5-21-1774715358-1257858206-961493439-1001\SystemAppData\Helium\Cache\b4fc36487ac2f25f_COM15.dat 中的访问历史记录，更新 1 个项并创建 1 个已修改的页面。"
"2026-02-28 13:26:41","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\Microsoft.PowerToys.ImageResizerContextMenu_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat 中的访问历史记录，更新 1 个项并创建 1 个已修改的页面。"
"2026-02-28 13:26:41","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\Microsoft.PowerToys.ImageResizerContextMenu_8wekyb3d8bbwe\SystemAppData\Helium\User.dat 中的访问历史记录，更新 1 个项并创建 1 个已修改的页面。"
"2026-02-28 13:26:41","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\Settings\settings.dat 中的访问历史记录，更新 6 个项并创建 2 个已修改的页面。"
"2026-02-28 13:21:13","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:21:13","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:21:01","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:21:01","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:20:27","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:20:27","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:12:15","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:12:15","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 13:09:50","98","信息","Microsoft-Windows-Ntfs","卷 Windows11 (\Device\HarddiskVolumeShadowCopy10) 运行状况良好。无需执行任何操作。"
"2026-02-28 12:57:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 12:57:46","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 12:49:56","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 12:49:56","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 12:23:18","1","信息","Microsoft-Windows-Kernel-General","系统时间已从 ‎2026‎-‎02‎-‎28T04:23:18.142667100Z.  时间增量更改为 ‎2026‎-‎02‎-‎28T04:23:18.143390600Z： 0 ms    更改原因： An application or system component changed the time.  进程： '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 71532).    RTC 时间： ‎2026‎-‎02‎-‎28T12:23:18.143390600Z  当前时区偏差 -480  RTC 时间以 UTC： false  系统时间基于 RTC 时间： false"
"2026-02-28 12:23:18","21","错误","Microsoft-Windows-HAL","未设置硬件实时时钟，因为评估 ACPI 时间和警报设备方法失败。 状态： 0xC00000BB."
"2026-02-28 12:23:18","20","错误","Microsoft-Windows-HAL","未查询硬件实时时钟，因为评估 ACPI 时间和警报设备方法失败。 状态： 0xC00000BB."
"2026-02-28 12:23:18","24","信息","Microsoft-Windows-Kernel-General","已刷新时区信息，退出原因为 0。当前时区偏差为 -480。"
"2026-02-28 12:23:18","1","信息","Microsoft-Windows-Kernel-General","系统时间已从 ‎2026‎-‎02‎-‎28T04:23:18.141354600Z.  时间增量更改为 ‎2026‎-‎02‎-‎28T04:23:18.142555900Z： 1 ms    更改原因： An application or system component changed the time.  进程： '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 71532).    RTC 时间： ‎2026‎-‎02‎-‎28T12:23:18.142555900Z  当前时区偏差 -480  RTC 时间以 UTC： false  系统时间基于 RTC 时间： false"
"2026-02-28 12:23:18","21","错误","Microsoft-Windows-HAL","未设置硬件实时时钟，因为评估 ACPI 时间和警报设备方法失败。 状态： 0xC00000BB."
"2026-02-28 12:23:18","20","错误","Microsoft-Windows-HAL","未查询硬件实时时钟，因为评估 ACPI 时间和警报设备方法失败。 状态： 0xC00000BB."
"2026-02-28 12:23:18","24","信息","Microsoft-Windows-Kernel-General","已刷新时区信息，退出原因为 0。当前时区偏差为 -480。"
"2026-02-28 12:23:18","35","信息","Microsoft-Windows-Time-Service","The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m 0x9 0.0.0.0:123->20.189.79.72:123) with reference id 1213185300. Current local stratum number is 4."
"2026-02-28 12:23:18","1","信息","Microsoft-Windows-Kernel-General","系统时间已从 ‎2026‎-‎02‎-‎28T04:23:16.992237200Z.  时间增量更改为 ‎2026‎-‎02‎-‎28T04:23:18.139174000Z： 1146 ms    更改原因： An application or system component changed the time.  进程： '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 71532).    RTC 时间： ‎2026‎-‎02‎-‎28T12:23:18.139174000Z  当前时区偏差 -480  RTC 时间以 UTC： false  系统时间基于 RTC 时间： false"
"2026-02-28 12:23:18","21","错误","Microsoft-Windows-HAL","未设置硬件实时时钟，因为评估 ACPI 时间和警报设备方法失败。 状态： 0xC00000BB."
"2026-02-28 12:23:18","20","错误","Microsoft-Windows-HAL","未查询硬件实时时钟，因为评估 ACPI 时间和警报设备方法失败。 状态： 0xC00000BB."
"2026-02-28 12:23:18","24","信息","Microsoft-Windows-Kernel-General","已刷新时区信息，退出原因为 0。当前时区偏差为 -480。"
"2026-02-28 12:23:16","37","信息","Microsoft-Windows-Time-Service","The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m 0x9 0.0.0.0:123->20.189.79.72:123)."
"2026-02-28 12:22:40","7021","信息","Netwtw10","7021 - Connection telemetry fields and analysis usage"
"2026-02-28 12:08:13","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 12:08:13","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 12:00:03","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 12:00:03","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 12:00:00","6013","信息","EventLog","系统启动时间为 270820 秒。"
"2026-02-28 11:57:45","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 11:57:45","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 11:41:20","16","信息","Microsoft-Windows-Kernel-General","已经清除配置单元 \??\C:\Users\葛容卓\AppData\Local\Packages\Microsoft.WindowsCalculator_8wekyb3d8bbwe\Settings\settings.dat 中的访问历史记录，更新 2 个项并创建 1 个已修改的页面。"
"2026-02-28 11:29:10","10016","警告","Microsoft-Windows-DistributedCOM","应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 INSPIRON7610\葛容卓 SID (S-1-5-21-1774715358-1257858206-961493439-1001)授予针对 CLSID 为   {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  、APPID 为   {15C20B67-12E7-4BB6-92BB-7AFF07997402}   的 COM 服务器应用程序的 本地 激活 权限。此安全权限可以使用组件服务管理工具进行修改。"
"2026-02-28 11:18:19","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 11:18:19","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 11:17:00","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 11:17:00","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
"2026-02-28 10:57:45","0","警告","hcmon","Detected unrecognized USB driver (\Driver\hrdevmon)."
