Date,EndDate,Critical,Error,Warning,TotalIssues,HealthScore
2025-01-01 00:00:00,2025-01-07 23:59:59,0,0,0,0,100
2025-01-08 00:00:00,2025-01-14 23:59:59,0,0,0,0,100
2025-01-15 00:00:00,2025-01-21 23:59:59,0,0,0,0,100
2025-01-22 00:00:00,2025-01-28 23:59:59,0,0,0,0,100
2025-01-29 00:00:00,2025-02-04 23:59:59,0,0,0,0,100
2025-02-05 00:00:00,2025-02-11 23:59:59,0,0,0,0,100
2025-02-12 00:00:00,2025-02-18 23:59:59,0,0,0,0,100
2025-02-19 00:00:00,2025-02-25 23:59:59,0,0,0,0,100
2025-02-26 00:00:00,2025-03-04 23:59:59,0,0,0,0,100
2025-03-05 00:00:00,2025-03-11 23:59:59,0,0,0,0,100
2025-03-12 00:00:00,2025-03-18 23:59:59,0,0,0,0,100
2025-03-19 00:00:00,2025-03-25 23:59:59,0,0,0,0,100
2025-03-26 00:00:00,2025-04-01 23:59:59,0,0,0,0,100
2025-04-02 00:00:00,2025-04-08 23:59:59,0,0,0,0,100
2025-04-09 00:00:00,2025-04-15 23:59:59,0,0,0,0,100
2025-04-16 00:00:00,2025-04-22 23:59:59,0,0,0,0,100
2025-04-23 00:00:00,2025-04-29 23:59:59,0,0,0,0,100
2025-04-30 00:00:00,2025-05-06 23:59:59,0,0,0,0,100
2025-05-07 00:00:00,2025-05-13 23:59:59,0,0,0,0,100
2025-05-14 00:00:00,2025-05-20 23:59:59,0,0,0,0,100
2025-05-21 00:00:00,2025-05-27 23:59:59,0,0,0,0,100
2025-05-28 00:00:00,2025-06-03 23:59:59,0,0,0,0,100
2025-06-04 00:00:00,2025-06-10 23:59:59,0,0,0,0,100
2025-06-11 00:00:00,2025-06-17 23:59:59,0,0,0,0,100
2025-06-18 00:00:00,2025-06-24 23:59:59,0,0,0,0,100
2025-06-25 00:00:00,2025-07-01 23:59:59,0,0,0,0,100
2025-07-02 00:00:00,2025-07-08 23:59:59,0,0,0,0,100
2025-07-09 00:00:00,2025-07-15 23:59:59,0,0,0,0,100
2025-07-16 00:00:00,2025-07-22 23:59:59,0,0,0,0,100
2025-07-23 00:00:00,2025-07-29 23:59:59,0,0,0,0,100
2025-07-30 00:00:00,2025-08-05 23:59:59,0,0,0,0,100
2025-08-06 00:00:00,2025-08-12 23:59:59,0,0,0,0,100
2025-08-13 00:00:00,2025-08-19 23:59:59,0,0,0,0,100
2025-08-20 00:00:00,2025-08-26 23:59:59,0,0,0,0,100
2025-08-27 00:00:00,2025-09-02 23:59:59,0,0,0,0,100
2025-09-03 00:00:00,2025-09-09 23:59:59,0,0,0,0,100
2025-09-10 00:00:00,2025-09-16 23:59:59,0,0,0,0,100
2025-09-17 00:00:00,2025-09-23 23:59:59,0,0,0,0,100
2025-09-24 00:00:00,2025-09-30 23:59:59,0,0,0,0,100
2025-10-01 00:00:00,2025-10-07 23:59:59,0,0,0,0,100
2025-10-08 00:00:00,2025-10-14 23:59:59,0,0,0,0,100
2025-10-15 00:00:00,2025-10-21 23:59:59,0,0,0,0,100
2025-10-22 00:00:00,2025-10-28 23:59:59,0,0,0,0,100
2025-10-29 00:00:00,2025-11-04 23:59:59,0,0,0,0,100
2025-11-05 00:00:00,2025-11-11 23:59:59,0,0,0,0,100
2025-11-12 00:00:00,2025-11-18 23:59:59,0,0,0,0,100
2025-11-19 00:00:00,2025-11-25 23:59:59,0,0,0,0,100
2025-11-26 00:00:00,2025-12-02 23:59:59,0,0,0,0,100
2025-12-03 00:00:00,2025-12-09 23:59:59,0,0,0,0,100
2025-12-10 00:00:00,2025-12-16 23:59:59,0,0,0,0,100
2025-12-17 00:00:00,2025-12-23 23:59:59,0,96,289,481,0
2025-12-24 00:00:00,2025-12-30 23:59:59,0,188,721,1097,0
2025-12-31 00:00:00,2026-01-06 23:59:59,0,151,481,783,0
2026-01-07 00:00:00,2026-01-13 23:59:59,0,147,333,627,0
2026-01-14 00:00:00,2026-01-20 23:59:59,7,264,793,1342,0
2026-01-21 00:00:00,2026-01-27 23:59:59,0,133,348,614,0
2026-01-28 00:00:00,2026-02-03 23:59:59,0,131,335,597,0
2026-02-04 00:00:00,2026-02-10 23:59:59,0,146,407,699,0
2026-02-11 00:00:00,2026-02-17 23:59:59,0,379,471,1229,0
2026-02-18 00:00:00,2026-02-24 23:59:59,0,40,93,173,0
2026-02-25 00:00:00,2026-03-03 23:59:59,0,211,471,893,0
2026-03-04 00:00:00,2026-03-10 23:59:59,1,123,459,708,0
2026-03-11 00:00:00,2026-03-17 23:59:59,0,129,420,678,0
2026-03-18 00:00:00,2026-03-24 23:59:59,0,176,501,853,0
2026-03-25 00:00:00,2026-03-31 23:59:59,0,184,452,820,0
2026-04-01 00:00:00,2026-04-07 23:59:59,0,129,323,581,0
2026-04-08 00:00:00,2026-04-14 23:59:59,0,152,735,1039,0
2026-04-15 00:00:00,2026-04-21 23:59:59,0,163,450,776,0
2026-04-22 00:00:00,2026-04-28 23:59:59,0,107,447,661,0
2026-04-29 00:00:00,2026-05-05 23:59:59,0,45,326,416,0
2026-05-06 00:00:00,2026-05-10 23:59:59,0,97,730,924,0
