[2026-07-15 16:09:37] Initialized 27 file hashes in whitelist
[2026-07-15 16:09:37] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 16:15:32] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:33] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:35] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:36] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:38] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:39] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:41] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:42] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:44] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:45] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:47] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:48] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:50] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:51] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:53] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:54] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:56] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:57] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:15:59] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:00] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:02] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:03] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:05] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:06] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:08] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:09] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:11] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:12] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:14] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:15] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:17] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:18] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:20] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:21] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:23] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:24] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:26] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:27] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:29] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:30] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:32] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:33] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:35] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:36] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:38] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:39] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:41] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:42] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:44] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:45] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:47] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:48] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:50] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:51] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:53] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:54] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:56] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:57] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:16:59] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:00] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:02] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:03] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:05] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:06] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:08] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:09] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:11] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:12] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:14] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:15] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:17] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:18] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:20] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:21] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:23] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:24] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:26] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:27] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:29] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:30] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:32] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:33] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:35] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:36] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:38] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:39] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:41] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:42] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:44] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:45] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:47] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:48] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:50] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:51] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:53] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:54] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:56] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:57] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:17:59] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:00] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:02] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:03] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
